VARIEDAD,C,N,P,K,Ca,Mg,S,Fe,Cu,Zn,Mn,B,Na
DK-7500,43.663,1.861,0.228417542,1.354878717,0.243562463,0.119686996,0.15252736,266.3858391,7.778278446,22.3834295,88.88804086,3.696788089,68.21208252
DK-7500,43.783,1.8826,0.216430519,1.40500072,0.292733036,0.109279545,0.1527191,141.3570405,9.271431929,22.26281114,84.33998542,2.141053436,73.42748412
DK-7500,43.695,1.8301,0.194363982,1.439700016,0.293407835,0.13226961,0.154300809,211.8479057,8.51233901,20.96543726,122.6896259,2.704791355,68.00244161
DK-7500,44.171,2.123,0.231147342,1.335530017,0.346243995,0.126217957,0.194771797,259.1754897,10.95403105,24.41420996,102.9843845,2.196982675,74.64250642
HR-245,43.592,1.7391,0.278423601,1.557811895,0.208925257,0.129989048,0.161314,186.3447506,6.220334707,26.51422842,64.89153834,0.959901952,56.47454209
HR-245,43.957,1.735,0.218745577,1.146192801,0.303817985,0.150417573,0.144601095,222.2406964,6.65966693,23.23846923,88.15578361,1.628019098,60.29820742
HR-245,43.574,1.7275,0.239341829,1.400732633,0.270904258,0.115413891,0.180923063,509.0729372,7.259126883,22.30326821,97.78745691,1.521467069,56.31863706
HR-245,43.804,1.803,0.222482905,1.426833713,0.341613553,0.116084868,0.15398386,145.4107803,7.425935276,20.04018067,115.7224661,1.013282123,60.9023711
HR-960,43.952,1.8595,0.257142063,1.345982967,0.239417276,0.105211156,0.158320888,175.4880148,7.449051239,21.19756949,80.26964031,5.377016446,73.86057418
HR-960,43.471,2.1826,0.289946079,1.443632812,0.301349558,0.126476771,0.18815957,249.5576705,9.116525319,26.87025728,93.11798087,5.501988692,79.34588082
HR-960,43.152,1.9235,0.270407762,1.797342555,0.258510362,0.108265602,0.176401633,243.2346371,7.94864642,24.12210058,91.18786004,4.628666613,75.94473806
HR-960,43.67,1.8786,0.240370475,1.042364386,0.373202902,0.095292613,0.174045405,247.5039228,8.30411766,21.94066081,114.6098414,4.938152191,68.52334356
HR-ORO,42.841,2.0524,0.229942336,1.352885949,0.299111772,0.112030771,0.197605173,206.9892874,8.585501551,24.99882248,94.69101521,5.345339231,73.74934247
HR-ORO,43.915,1.7145,0.235189462,1.233619517,0.244947998,0.095535055,0.171693571,132.5436135,8.151651,22.69406554,99.09689685,4.048519113,57.8731513
HR-ORO,43.955,2.1964,0.254700308,1.291175001,0.27385842,0.11258274,0.193931177,658.4514202,8.491607249,23.0728694,99.48639266,4.754291923,68.68703472
HR-ORO,43.787,1.9071,0.290822829,1.216829008,0.305388778,0.101727809,0.176263594,177.7362009,7.950375661,22.47874846,98.20110191,4.991085699,65.93933707
