VARIEDAD,HUMEDAD,MATERIA_SECA,RENDIMIENTO,Rendimiento_MS
HR-960,68.94,31.06,44.89158304,13.94332569
HR-960,68.78,31.22,39.06595776,12.19639201
HR-960,69.03,30.97,37.35253856,11.56808119
HR-960,69.45,30.55,45.06292496,13.76672358
HR-ORO,69.95,30.05,21.39401138,6.42890042
HR-ORO,67.92,32.08,19.51591115,6.260704297
HR-ORO,69.45,30.55,15.84136721,4.839537683
HR-ORO,71.05,28.95,20.00585034,5.791693673
DK-7500,70.18,29.82,45.206304,13.48051985
DK-7500,70.21,29.79,42.835936,12.76082533
DK-7500,71.51,28.49,44.190432,12.58985408
DK-7500,67.78,32.22,35.724832,11.51054087
HR-245,71.17,28.83,40.402076,11.64791851
HR-245,71.57,28.43,41.5039508,11.79957321
HR-245,72.83,27.17,43.7077004,11.8753822
HR-245,70.65,29.35,45.3605126,13.31331045
