Planta ;Variedad ;DDS;Altura;NHV
1;BN;20;2,3;0
2;BN;20;1,7;0
3;BN;20;3,5;1
4;BN;20;2,6;1
5;BN;20;0,5;0
6;BN;20;2,5;2
7;BN;20;3;1
8;BN;20;2,8;1
9;BN;20;1,7;0
10;BN;20;2,8;1
11;BN;20;2,4;1
12;BN;20;3,4;2
13;BN;20;4;2
14;BN;20;2,1;2
15;BN;20;3,5;2
16;BN;20;2,6;1
17;BN;20;2,2;0
18;BN;20;3,8;1
19;BN;20;3,3;1
22;CHR;20;2,5;2
23;CHR;20;2;0
24;CHR;20;2,8;1
25;CHR;20;2,2;2
26;CHR;20;2,2;2
27;CHR;20;3;2
28;CHR;20;2,5;2
29;CHR;20;3;2
30;CHR;20;2,2;2
31;CHR;20;3;2
32;CHR;20;3;0
33;CHR;20;2;2
34;CHR;20;2,6;2
35;CHR;20;1,1;2
36;CHR;20;1,2;0
37;CHR;20;2,3;0
38;CHR;20;2,5;0
39;CHR;20;2,6;2,6
40;CHR;20;2,8;2
41;CHR;20;3;2
42;CHR;20;2,8;2
43;CHR;20;2,4;2
46;CHPA;20;2,7;1
47;CHPA;20;3,4;2
48;CHPA;20;1,3;2
49;CHPA;20;4;2
50;CHPA;20;2,7;2
51;CHPA;20;3;1
52;CHPA;20;1,6;0
53;CHPA;20;3,9;2
54;CHPA;20;3,1;2
55;CHPA;20;2,2;2
56;CHPA;20;3;1
57;CHPA;20;2,1;1
58;CHPA;20;2,4;1
59;CHPA;20;2,2;1
60;CHPA;20;4;2
61;CHPA;20;2,8;2
62;CHPA;20;2,9;2
63;CHPA;20;1,7;0
68;MY;20;4,8;1
69;MY;20;3,7;2
70;MY;20;5;2
71;MY;20;4,6;1
72;MY;20;4,5;2
73;MY;20;4;2
74;MY;20;4,6;1
75;MY;20;2,8;1
76;MY;20;5,3;2
77;MY;20;4,3;2
78;MY;20;4,3;2
79;MY;20;3,7;1
80;MY;20;4,1;2
81;MY;20;5;2
82;MY;20;3,9;2
83;MY;20;4,5;2
84;MY;20;5,2;2
85;MY;20;4,2;1
86;MY;20;3,5;1
87;MY;20;2;0
88;MY;20;3,7;1
89;MY;20;3,1;2
90;MY;20;3,6;2
92;PHL;20;3;2
93;PHL;20;3,5;2
94;PHL;20;4;2
95;PHL;20;3,3;2
96;PHL;20;2,6;2
97;PHL;20;3,5;2
98;PHL;20;3;2
99;PHL;20;3;2
100;PHL;20;3,1;2
101;PHL;20;3,2;2
102;PHL;20;3,5;2
103;PHL;20;3,2;2
104;PHL;20;4;2
105;PHL;20;4,5;2
106;PHL;20;3,2;1
107;PHL;20;3,4;2
108;PHL;20;3,9;2
109;PHL;20;2,9;2
110;PHL;20;2,4;2
111;PHL;20;4,2;2
112;PHL;20;3,7;2
113;PHL;20;3,8;2
114;PHL;20;3,6;2
