Planta;Variedad;DDS;Altura;NHV
1;BN;20;2,3;0
2;BN;20;1,7;0
3;BN;20;3,5;1
4;BN;20;2,6;1
5;BN;20;0,5;0
6;BN;20;2,5;2
7;BN;20;3;1
8;BN;20;2,8;1
9;BN;20;1,7;0
10;BN;20;2,8;1
11;BN;20;2,4;1
12;BN;20;3,4;2
13;BN;20;4;2
14;BN;20;2,1;2
15;BN;20;3,5;2
16;BN;20;2,6;1
17;BN;20;2,2;0
18;BN;20;3,8;1
19;BN;20;3,3;1
20;CHR;20;2,5;2
21;CHR;20;2;0
22;CHR;20;2,8;1
23;CHR;20;2,2;2
24;CHR;20;2,2;2
25;CHR;20;3;2
26;CHR;20;2,5;2
27;CHR;20;3;2
28;CHR;20;2,2;2
29;CHR;20;3;2
30;CHR;20;3;0
31;CHR;20;2;2
32;CHR;20;2,6;2
33;CHR;20;1,1;2
34;CHR;20;1,2;0
35;CHR;20;2,3;0
36;CHR;20;2,5;0
37;CHR;20;2,6;2,6
38;CHR;20;2,8;2
39;CHR;20;3;2
40;CHR;20;2,8;2
41;CHR;20;2,4;2
42;CHPA;20;2,7;1
43;CHPA;20;3,4;2
44;CHPA;20;1,3;2
45;CHPA;20;4;2
46;CHPA;20;2,7;2
47;CHPA;20;3;1
48;CHPA;20;1,6;0
49;CHPA;20;3,9;2
50;CHPA;20;3,1;2
51;CHPA;20;2,2;2
52;CHPA;20;3;1
53;CHPA;20;2,1;1
54;CHPA;20;2,4;1
55;CHPA;20;2,2;1
56;CHPA;20;4;2
57;CHPA;20;2,8;2
58;CHPA;20;2,9;2
59;CHPA;20;1,7;0
60;MY;20;4,8;1
61;MY;20;3,7;2
62;MY;20;5;2
63;MY;20;4,6;1
64;MY;20;4,5;2
65;MY;20;4;2
66;MY;20;4,6;1
67;MY;20;2,8;1
68;MY;20;5,3;2
69;MY;20;4,3;2
70;MY;20;4,3;2
71;MY;20;3,7;1
72;MY;20;4,1;2
73;MY;20;5;2
74;MY;20;3,9;2
75;MY;20;4,5;2
76;MY;20;5,2;2
77;MY;20;4,2;1
78;MY;20;3,5;1
79;MY;20;2;0
80;MY;20;3,7;1
81;MY;20;3,1;2
82;MY;20;3,6;2
83;PHL;20;3;2
84;PHL;20;3,5;2
85;PHL;20;4;2
86;PHL;20;3,3;2
87;PHL;20;2,6;2
88;PHL;20;3,5;2
89;PHL;20;3;2
90;PHL;20;3;2
91;PHL;20;3,1;2
92;PHL;20;3,2;2
93;PHL;20;3,5;2
94;PHL;20;3,2;2
95;PHL;20;4;2
96;PHL;20;4,5;2
97;PHL;20;3,2;1
98;PHL;20;3,4;2
99;PHL;20;3,9;2
100;PHL;20;2,9;2
101;PHL;20;2,4;2
102;PHL;20;4,2;2
103;PHL;20;3,7;2
104;PHL;20;3,8;2
105;PHL;20;3,6;2
